Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.769786 -0.0379899 0.0933837 0.63029	0.712873 -0.0575743 0.0743277 0.694963	0.690911 -0.0597093 0.069091 0.717149	0.685658 -0.0168412 0.020749 0.727433	0.689285 -0.00994538 0.00265579 0.724417	0.733585 -0.033002 -0.0311333 0.678081	0.809665 -0.00188747 -0.110938 0.576309	0.719116 0.1629 0.343319 0.581781	0.909855 -0.0900766 0.0834531 0.39634	0.91429 0.00494896 0.0418198 0.402866	0.818049 0.0919245 0.342455 0.452847	0.678238 -0.27855 -0.268034 0.624948	0.907903 0.058465 -0.0738824 0.408455	0.909286 0.0300729 -0.061086 0.410564	0.840647 -0.060959 -0.275934 0.462014	0.714838 -0.0549313 0.0526448 0.695139	0.632894 -0.0604573 0.0461933 0.770491	0.688419 0.0136611 0.0542564 0.723152	0.71496 -0.0024186 -0.0270631 0.698637	0.619664 0.00106501 -0.02715 0.784397	0.70896 0.0745541 -0.0478284 0.699664	
0.774088 -0.040657 0.0854358 0.625967	0.715605 -0.0527991 0.0736907 0.692598	0.692092 -0.0549305 0.0691294 0.716389	0.685257 -0.0174918 0.0206196 0.727799	0.688555 -0.0114769 0.00211981 0.72509	0.735538 -0.0373681 -0.0325916 0.675666	0.81394 -0.00260044 -0.111424 0.570158	0.721759 0.157046 0.34316 0.580208	0.912006 -0.0929591 0.0853783 0.390276	0.916708 0.00645973 0.0425651 0.397231	0.817347 0.0923343 0.347145 0.450454	0.681004 -0.278929 -0.266265 0.622523	0.910772 0.0592793 -0.0755879 0.401581	0.912274 0.0278359 -0.0616943 0.403949	0.841712 -0.0628947 -0.283179 0.455384	0.715419 -0.0531258 0.0562465 0.694399	0.628551 -0.0593873 0.04959 0.773911	0.687805 0.0125012 0.0537603 0.723794	0.7116 -0.0152059 -0.00446549 0.702406	0.616433 -0.014514 -0.00636416 0.787248	0.708082 0.0678391 -0.0559066 0.700637	
0.775327 -0.0456216 0.071101 0.625884	0.716246 -0.0488784 0.0679826 0.692807	0.69212 -0.0486571 0.0655786 0.717149	0.682329 -0.0133776 0.0211133 0.730617	0.685371 -0.00867166 0.00252469 0.728138	0.738473 -0.0432271 -0.0336039 0.672057	0.819217 -0.00441737 -0.113008 0.562222	0.721451 0.151297 0.341031 0.583365	0.912614 -0.0993033 0.0881214 0.386664	0.917982 0.00593469 0.04323 0.394215	0.81879 0.091921 0.350145 0.44557	0.678857 -0.278597 -0.263827 0.626045	0.910544 0.061953 -0.0768664 0.401452	0.91218 0.0292502 -0.0624161 0.403951	0.843246 -0.0653043 -0.289747 0.448017	0.718479 -0.0460236 0.0535074 0.691959	0.625188 -0.0524217 0.0472565 0.777277	0.685924 0.0132394 0.0545449 0.725505	0.717466 -0.0243437 0.013271 0.696042	0.610125 -0.0259965 0.00963926 0.79182	0.69787 0.0715455 -0.0555158 0.710476	
0.773143 -0.0447103 0.0550253 0.630256	0.714533 -0.0429842 0.0578257 0.695881	0.690682 -0.0395583 0.0579958 0.719743	0.679358 -0.00480671 0.0207269 0.733499	0.682671 -0.0010867 0.0027835 0.73072	0.741633 -0.0489427 -0.0347669 0.668114	0.823212 -0.00812071 -0.114848 0.555937	0.71855 0.149984 0.339491 0.588164	0.910007 -0.106583 0.0902953 0.390351	0.916228 -0.000360579 0.0444301 0.398187	0.821295 0.0908759 0.347479 0.443255	0.67146 -0.278407 -0.263052 0.634377	0.906731 0.0639459 -0.0764819 0.409756	0.908301 0.0352007 -0.063468 0.411973	0.843906 -0.0653673 -0.289487 0.446931	0.72072 -0.0361661 0.0452796 0.690799	0.62399 -0.0417873 0.0401503 0.77928	0.68402 0.0167978 0.0565313 0.727076	0.723803 -0.0138203 0.00378831 0.689858	0.607977 -0.0142407 0.00159769 0.793825	0.689837 0.0769423 -0.0551782 0.717746	
0.771686 -0.0390909 0.0424367 0.633381	0.712967 -0.0358287 0.047624 0.69866	0.688813 -0.030432 0.0494332 0.722611	0.678075 0.00357722 0.0184737 0.734752	0.681989 0.00700741 0.00178052 0.731327	0.743325 -0.0502948 -0.0364943 0.666037	0.825897 -0.00967883 -0.115973 0.55168	0.716447 0.152704 0.339409 0.590074	0.906016 -0.110745 0.0911051 0.398209	0.912697 -0.0106987 0.046877 0.405799	0.818677 0.0854637 0.339961 0.454852	0.666522 -0.279247 -0.264062 0.638781	0.902262 0.0639123 -0.0749336 0.41979	0.903625 0.0402943 -0.0639296 0.421606	0.83901 -0.0611739 -0.282054 0.461265	0.71971 -0.0279322 0.0372393 0.692713	0.625026 -0.0324732 0.0333536 0.779215	0.682444 0.0169524 0.0566564 0.728542	0.725768 0.000791844 -0.0127818 0.68782	0.608993 0.00278543 -0.0124998 0.793072	0.686151 0.079695 -0.0544335 0.721029	
0.771301 -0.0339852 0.0355184 0.634569	0.712226 -0.0305859 0.0407857 0.700097	0.687535 -0.0251064 0.0428097 0.724454	0.678308 0.00772625 0.0151589 0.73458	0.682594 0.0112519 -5.92078e-05 0.730711	0.743758 -0.0478693 -0.0379974 0.665649	0.828165 -0.00896772 -0.115286 0.548427	0.715732 0.155813 0.33955 0.590047	0.901901 -0.11124 0.0906303 0.407414	0.908502 -0.0205662 0.0494683 0.414431	0.808279 0.0764724 0.336376 0.477167	0.665183 -0.279891 -0.265175 0.639433	0.899382 0.062832 -0.0738973 0.426266	0.900628 0.041295 -0.0636771 0.427912	0.829566 -0.0529041 -0.27304 0.484222	0.71655 -0.0241064 0.035133 0.696234	0.627208 -0.0281735 0.0319641 0.777686	0.681602 0.0154351 0.0558061 0.729428	0.721589 0.0201339 -0.0341619 0.691185	0.613741 0.0248746 -0.0308814 0.788511	0.686801 0.0814594 -0.0532743 0.720299	
0.771161 -0.0323932 0.033203 0.634948	0.711986 -0.028775 0.0378906 0.70058	0.687127 -0.0242906 0.0392368 0.725071	0.679286 0.00774953 0.0122593 0.733731	0.683567 0.0116462 -0.00191483 0.729792	0.743069 -0.0441146 -0.0380926 0.666672	0.829981 -0.00675586 -0.113183 0.546145	0.716145 0.157881 0.338819 0.589416	0.899301 -0.109472 0.0896294 0.413811	0.905533 -0.0271556 0.0515888 0.420252	0.796416 0.0682497 0.341381 0.494493	0.665992 -0.279913 -0.264718 0.63877	0.898421 0.0618292 -0.0736514 0.428478	0.899673 0.0396296 -0.0630505 0.430165	0.824683 -0.0488964 -0.269514 0.494843	0.713079 -0.0227047 0.0370652 0.699735	0.629878 -0.0267283 0.0342772 0.775477	0.681216 0.0162861 0.0561168 0.729747	0.714154 0.0340442 -0.0476014 0.697538	0.619979 0.0398033 -0.0429023 0.782433	0.689214 0.0823195 -0.0520969 0.717979	
0.771411 -0.0336987 0.0338339 0.634543	0.71205 -0.0294312 0.0380046 0.700482	0.687567 -0.0261694 0.0383841 0.724634	0.680185 0.00539153 0.0103965 0.732947	0.684254 0.00959674 -0.00343214 0.729172	0.7428 -0.0409487 -0.0369633 0.667237	0.831348 -0.00516656 -0.110682 0.544595	0.716831 0.158827 0.33738 0.589154	0.90021 -0.107481 0.089947 0.412285	0.906137 -0.0290761 0.0538851 0.418528	0.793834 0.0651826 0.350141 0.49293	0.666396 -0.279324 -0.264354 0.638758	0.899392 0.0617856 -0.0739771 0.426386	0.900747 0.0371241 -0.0622688 0.428252	0.82786 -0.0516159 -0.272592 0.487521	0.710656 -0.0236618 0.0420073 0.701886	0.631597 -0.0280145 0.0392388 0.773796	0.681045 0.0157179 0.055759 0.729946	0.706079 0.0371817 -0.0460169 0.705657	0.626922 0.0418705 -0.0417959 0.776833	0.691209 0.0783427 -0.0545497 0.716322	
0.771098 -0.0353083 0.0360139 0.634715	0.711917 -0.0311022 0.0395497 0.700459	0.688285 -0.0285686 0.0392718 0.723813	0.680613 0.0031649 0.00919297 0.732579	0.684565 0.00754803 -0.00513337 0.728895	0.743538 -0.0379427 -0.0357864 0.666657	0.832018 -0.00436767 -0.108613 0.543995	0.716792 0.159554 0.335795 0.589909	0.905197 -0.106071 0.0918649 0.401159	0.911007 -0.026425 0.0563955 0.407661	0.801766 0.0672929 0.358683 0.473276	0.666887 -0.278037 -0.265302 0.638413	0.901867 0.0621584 -0.0742447 0.421022	0.903362 0.0341342 -0.0611402 0.423123	0.83587 -0.060252 -0.277567 0.469731	0.708638 -0.0263087 0.0483431 0.703422	0.633132 -0.031106 0.0454051 0.772084	0.680858 0.0150511 0.0553997 0.730162	0.700285 0.032372 -0.0362019 0.71221	0.632303 0.0355434 -0.0330937 0.773197	0.692468 0.0761951 -0.0552233 0.715285	
0.770467 -0.0364543 0.0375285 0.63533	0.711908 -0.0326928 0.0407765 0.700326	0.689048 -0.0302331 0.0403372 0.722961	0.680723 0.00235651 0.00828028 0.73249	0.684619 0.00693698 -0.00676603 0.728837	0.744573 -0.0356117 -0.0356102 0.665639	0.832148 -0.00407988 -0.107563 0.544006	0.716733 0.160385 0.334511 0.590485	0.911172 -0.104967 0.0941959 0.387137	0.916954 -0.0211487 0.0583753 0.394132	0.812742 0.0716181 0.364653 0.44872	0.667475 -0.277208 -0.267236 0.637352	0.904412 0.0626049 -0.074446 0.415424	0.906059 0.0306371 -0.0597337 0.417793	0.841 -0.0674294 -0.27989 0.458077	0.706803 -0.0296313 0.054788 0.704663	0.634383 -0.0348553 0.0516222 0.770505	0.680781 0.0146783 0.0551784 0.730259	0.696982 0.0241069 -0.0235781 0.716295	0.635611 0.0259672 -0.0215123 0.771272	0.692859 0.0753974 -0.0547985 0.715024	
