Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.418798 33.3226 5.7552	-0.16294 35.6196 8.01892	-0.372884 39.1804 8.72139	-0.466029 42.8106 8.8946	-0.480396 46.4398 8.67945	-0.353886 55.9029 6.84493	0.0966922 60.8583 6.36588	0.768328 52.5281 6.4809	4.82576 56.1437 8.21656	15.8555 55.0319 10.7557	24.4707 55.4015 11.3823	-1.52855 52.5507 6.43939	-5.5286 56.6177 6.52738	-16.6994 56.0967 8.59628	-25.2651 56.0576 9.77023	3.85274 32.5513 6.22115	3.83626 17.6402 5.80315	3.32346 3.14207 8.6349	-2.82424 32.1477 4.91488	-3.45191 17.2476 4.58154	-3.92456 2.87778 8.0112	
0.232802 33.3668 5.6483	-0.297912 35.6409 7.94734	-0.525808 39.1956 8.67474	-0.642796 42.8248 8.85621	-0.65297 46.4537 8.63723	-0.496256 55.9128 6.78431	-0.00215147 60.867 6.33699	0.616675 52.534 6.42857	4.69672 56.0992 8.21495	15.7071 54.9287 10.8112	24.3208 55.3235 11.4416	-1.68007 52.5633 6.38363	-5.6885 56.622 6.47135	-16.8514 56.0844 8.57869	-25.4179 56.0762 9.74633	3.66055 32.5451 6.07167	3.76048 17.6349 5.6347	3.32323 3.16758 8.6322	-3.03294 32.2451 4.82327	-3.44639 17.3352 4.62618	-3.90014 2.99187 8.1677	
0.032406 33.4614 5.6486	-0.402883 35.7393 7.96387	-0.612737 39.2941 8.69645	-0.739893 42.923 8.87423	-0.773575 46.5499 8.62522	-0.664867 55.9928 6.68831	-0.118295 60.9456 6.289	0.461583 52.6159 6.35842	4.57848 56.1314 8.15868	15.5503 54.8451 10.8612	24.1631 55.234 11.507	-1.83541 52.6348 6.32146	-5.8607 56.6773 6.37493	-17.0118 56.0961 8.5326	-25.5754 56.0707 9.72141	3.44443 32.551 6.01342	3.64126 17.6453 5.46656	3.31011 3.20659 8.61173	-3.27381 32.4265 4.87277	-3.49526 17.5182 4.41482	-3.92992 3.22912 8.1713	
-0.118793 33.5494 5.7081	-0.448874 35.8537 8.01464	-0.620136 39.4144 8.72813	-0.747816 43.0442 8.88674	-0.824565 46.6682 8.60717	-0.838108 56.0968 6.59885	-0.2396 61.0476 6.25174	0.321003 52.7297 6.28205	4.45436 56.2377 8.05892	15.3833 54.8333 10.8742	23.9949 55.1335 11.5806	-1.97632 52.7238 6.26967	-6.00748 56.7609 6.26983	-17.1542 56.1549 8.44319	-25.7089 56.0541 9.69078	3.28331 32.5751 5.99149	3.51155 17.6727 5.37256	3.28951 3.24815 8.59156	-3.46369 32.5735 5.02749	-3.66633 17.6752 4.30905	-3.9718 3.40712 8.15687	
-0.228393 33.6151 5.7317	-0.479344 35.9358 8.03174	-0.617495 39.5015 8.72729	-0.74077 43.1324 8.86351	-0.850962 46.7545 8.5712	-0.981432 56.1787 6.54622	-0.361821 61.1286 6.22566	0.205648 52.8222 6.22021	4.33026 56.3557 7.96668	15.2352 54.8987 10.8472	23.8411 55.0588 11.6621	-2.09148 52.7942 6.23818	-6.11122 56.8426 6.21108	-17.2633 56.2465 8.35916	-25.8104 56.0829 9.65183	3.17258 32.6162 5.93045	3.39492 17.7114 5.37069	3.26317 3.28179 8.5719	-3.59756 32.661 5.14657	-3.85807 17.7677 4.34882	-4.0178 3.4889 8.16586	
-0.35199 33.6601 5.7103	-0.561018 35.9861 8.00915	-0.67925 39.5543 8.69587	-0.791293 43.186 8.81768	-0.907324 46.8081 8.52802	-1.08454 56.2352 6.52025	-0.474662 61.1866 6.20371	0.109996 52.883 6.1782	4.22256 56.4415 7.90217	15.127 54.9994 10.7922	23.7232 55.0308 11.7167	-2.18679 52.8479 6.21617	-6.1957 56.907 6.1867	-17.3544 56.3381 8.30761	-25.9006 56.1662 9.60482	3.05091 32.6581 5.85274	3.30124 17.7491 5.43433	3.24619 3.30303 8.56249	-3.73167 32.7082 5.18534	-4.05193 17.808 4.55596	-4.0324 3.47896 8.1833	
-0.493485 33.6891 5.67551	-0.688415 36.0169 7.97382	-0.796622 39.5859 8.65774	-0.892942 43.2182 8.77535	-0.994836 46.8415 8.49534	-1.15759 56.2743 6.51295	-0.576516 61.2282 6.18264	0.0284931 52.9203 6.15834	4.13931 56.4891 7.86515	15.0567 55.0935 10.7289	23.6438 55.0432 11.734	-2.26823 52.8902 6.20341	-6.27977 56.9467 6.17489	-17.4422 56.401 8.28254	-25.9921 56.2535 9.55818	2.90964 32.6855 5.79958	3.22418 17.7742 5.53116	3.2497 3.30738 8.56242	-3.87655 32.7386 5.1702	-4.18228 17.8285 4.83681	-4.04792 3.4377 8.20813	
-0.636782 33.7169 5.62711	-0.835063 36.0427 7.9272	-0.941286 39.6115 8.61198	-1.02412 43.244 8.73464	-1.10427 46.8686 8.4633	-1.21774 56.3055 6.49784	-0.668408 61.2627 6.16081	-0.0482315 52.9463 6.13823	4.07028 56.5134 7.83003	14.9962 55.1561 10.6797	23.5772 55.0905 11.7344	-2.34512 52.9277 6.18117	-6.36261 56.9783 6.15542	-17.524 56.4318 8.268	-26.0789 56.3147 9.51277	2.76483 32.7092 5.75917	3.15997 17.7984 5.59235	3.25178 3.31807 8.55743	-4.01961 32.7709 5.11192	-4.2062 17.8551 5.114	-4.01926 3.40622 8.2244	
-0.752883 33.7315 5.58541	-0.964196 36.0588 7.88276	-1.07274 39.6278 8.56663	-1.14923 43.2602 8.6973	-1.21158 46.8853 8.43004	-1.27381 56.3243 6.47194	-0.755219 61.2854 6.14354	-0.121857 52.9593 6.11045	4.00618 56.5245 7.78289	14.9311 55.1788 10.6422	23.5098 55.16 11.7168	-2.41884 52.9527 6.15188	-6.43878 57.001 6.1453	-17.5983 56.4369 8.26357	-26.1593 56.351 9.46836	2.64821 32.7247 5.7366	3.11815 17.8154 5.65125	3.258 3.32279 8.55354	-4.13263 32.7842 5.05258	-4.20114 17.8696 5.30776	-4.00731 3.38211 8.23231	
-0.844186 33.7417 5.55301	-1.06436 36.0731 7.84541	-1.17372 39.642 8.52965	-1.2484 43.2741 8.66855	-1.30194 46.8995 8.40236	-1.33642 56.3388 6.44552	-0.837092 61.3027 6.13088	-0.195795 52.9701 6.08207	3.93903 56.5356 7.73713	14.8593 55.1896 10.6136	23.4385 55.2521 11.6833	-2.49273 52.971 6.12658	-6.50617 57.0256 6.14591	-17.6637 56.4412 8.26892	-26.2316 56.3928 9.42612	2.55637 32.7354 5.71888	3.08874 17.828 5.70549	3.26292 3.32498 8.55358	-4.22183 32.7933 5.00904	-4.19695 17.8819 5.41581	-4.0091 3.37317 8.23378	
